Tiempo,Temperatura,Resistencia
3045,65.245,125.2679
3050,65.0395,125.2286
3055,65.2792,125.2417
3060,64.5259,125.1892
3065,64.5259,125.1367
3070,65.2107,125.0449
3075,64.4232,125.058
3080,65.0395,125.058
3085,64.4232,124.9268
3090,64.0125,124.9399
3095,64.5259,124.848
3100,64.2521,124.6249
3105,64.2178,124.9661
3110,63.8755,124.7299
3115,63.9782,124.848
3120,63.7729,124.7824
3125,63.8755,124.7168
3130,63.5333,124.52
3135,63.636,124.7299
3140,63.2937,124.4281
3145,63.7729,124.4412
3150,63.4306,124.5068
3155,62.9857,124.5856
3160,62.7462,124.4937
3165,63.1568,124.5593
3170,62.8489,124.2575
3175,62.6778,124.4019
3180,62.5067,124.4412
3185,63.1911,124.4675
3190,62.4383,124.2838
3195,62.2672,124.2575
3200,62.0962,124.2181
3205,62.4725,124.1656
3210,62.1988,124.1788
3215,61.9594,124.2313
3220,62.6094,124.2313
3225,61.7199,124.0475
3230,62.1646,123.9951
3235,62.0278,123.9819
3240,61.5147,124.0344
3245,61.9936,123.877
3250,61.7199,123.9032
3255,61.7541,123.8638
3260,61.3095,123.8638
3265,61.0701,123.9294
3270,61.4121,123.8376
3275,61.2411,123.6145
3280,61.4463,123.7982
3285,61.2753,123.6407
3290,61.3095,123.7457
3295,61.0701,123.7064
3300,60.3862,123.6539
3305,60.8307,123.457
3310,61.0359,123.4439
3315,61.1385,123.6014
3320,60.7281,123.5883
3325,60.7623,123.5751
3330,60.523,123.2996
3335,60.2495,123.3521
3340,60.5572,123.2077
3345,59.6683,123.4177
3350,60.2837,123.457
3355,60.4546,123.1683
3360,60.2495,123.3389
3365,60.2495,123.2208
3370,59.6683,123.2339
3375,59.9418,123.2077
3380,59.6,123.1946
3385,59.7709,123.1421
3390,59.6683,123.1158
3395,59.5316,123.0109
3400,59.2924,123.129
3405,59.224,123.024
3410,59.4974,122.7484
3415,59.1556,122.8534
3420,59.1556,122.9715
3425,59.3607,122.9453
3430,59.3265,122.7615
3435,59.0873,122.7878
3440,58.8481,122.8403
3445,58.8481,122.7615
3450,58.7456,122.709
3455,58.233,122.7878
3460,58.5747,122.6434
3465,58.2672,122.7353
3470,58.4039,122.7615
3475,58.0622,122.5909
3480,58.3697,122.6434
3485,58.3697,122.6172
3490,58.3014,122.5909
3495,58.3697,122.6041
3500,57.9597,122.3547
3505,57.9597,122.4335
3510,58.1305,122.3285
3515,57.9255,122.3547
3520,57.7206,122.2498
3525,57.4815,122.3285
3530,57.6181,122.3022
3535,57.3448,122.486
3540,57.5498,122.2629
3545,57.1741,122.1973
3550,57.0033,122.2498
3555,57.1741,122.2104
3560,57.4131,122.1448
3565,57.379,122.1317
3570,57.0716,122.066
3575,57.1057,122.0267
3580,56.9008,122.0529
3585,57.0374,122.066
3590,57.0716,122.0267
3595,56.5935,122.066
3600,56.4227,121.9479
3605,56.3886,121.9217
3610,56.3886,121.843
3615,56.4569,121.9479
3620,56.6618,122.0135
3625,56.491,121.8298
3630,56.0813,121.8823
3635,56.013,121.7905
3640,56.1837,121.6724
3645,56.252,121.8823
3650,55.7399,121.6068
3655,56.252,121.7511
3660,55.6716,121.633
3665,55.9106,121.6724
3670,55.6033,121.6592
3675,56.0813,121.6461
3680,55.7399,121.6986
3685,55.6033,121.5674
3690,55.5692,121.6461
3695,55.5351,121.5018
3700,55.6033,121.528
3705,55.5692,121.528
3710,55.262,121.3574
3715,54.9206,121.5411
3720,55.3985,121.3574
3725,55.3985,121.423
3730,55.0572,121.2131
3735,54.9548,121.2787
3740,55.262,121.2656
3745,55.3302,121.2393
3750,54.6817,121.1868
3755,54.9206,121.2262
3760,54.3405,121.095
3765,54.4429,121.1343
3770,54.4087,121.2656
3775,54.477,121.3705
3780,54.6476,121.0425
3785,54.5111,121.0818
3790,53.8969,121.0162
3795,54.2722,121.0556
3800,54.1016,121.0294
3805,54.1699,121.0687
3810,54.2381,121.0556
3815,53.8628,120.8588
3820,53.8969,120.8456
3825,53.8628,120.9244
3830,53.9993,120.8719
3835,53.9651,120.885
3840,53.4875,120.7538
3845,53.6581,120.8719
3850,53.9651,120.8981
3855,53.624,120.6488
3860,53.4534,120.6619
3865,53.624,120.8063
3870,53.351,120.8194
3875,53.1122,120.7275
3880,53.1464,120.8194
3885,53.044,120.5176
3890,52.8394,120.6226
3895,53.1122,120.5569
3900,52.8735,120.4388
3905,53.044,120.5176
3910,52.9076,120.5963
3915,52.8394,120.5701
3920,52.6347,120.5438
3925,52.7029,120.5438
3930,52.7029,120.1895
3935,52.2255,120.4257
3940,52.396,120.5438
3945,52.6006,120.3601
3950,52.3278,120.347
3955,52.6688,120.2026
3960,52.6347,120.3207
3965,52.2937,120.3076
3970,52.1232,120.242
3975,52.055,120.3601
3980,51.6799,120.1239
3985,52.396,120.0845
3990,52.1232,120.2289
3995,51.9527,120.137
4000,51.5435,120.2289
4005,51.7822,120.0714
4010,51.5094,120.1501
4015,52.0891,120.1895
4020,51.2367,119.9927
4025,51.6799,119.9533
4030,51.2367,120.0845
4035,51.714,119.9008
4040,51.1003,119.9139
4045,51.1003,119.9402
4050,51.1344,120.0714
4055,50.7935,119.9664
4060,51.3049,119.8746
4065,51.1685,119.8352
4070,50.964,119.7565
4075,50.7935,119.7696
4080,50.9299,119.6515
4085,50.4868,119.704
4090,50.5549,119.704
4095,50.9299,119.8352
4100,50.5209,119.7565
4105,50.6231,119.7433
4110,50.8958,119.5334
4115,50.6231,119.6909
4120,50.4527,119.5071
4125,50.7254,119.4547
4130,50.5209,119.3628
4135,50.3845,119.5334
4140,50.2141,119.5596
4145,50.4527,119.5334
4150,50.18,119.4678
4155,50.0096,119.5465
4160,50.4527,119.2972
4165,49.6689,119.5859
4170,49.8392,119.2316
4175,49.7711,119.2972
4180,49.737,119.2709
4185,49.8392,119.2972
4190,49.2941,119.2053
4195,49.8392,119.2972
4200,49.6007,119.061
4205,49.737,119.2578
4210,49.4304,119.2316
4215,49.1237,119.2184
4220,49.737,119.0741
4225,49.2259,119.166
4230,49.0897,119.166
4235,49.2941,119.0216
4240,49.3622,119.2447
4245,48.7831,119.1397
4250,49.1919,119.1266
4255,48.5105,119.0216
4260,49.0897,118.8904
4265,48.9193,119.0479
4270,49.1578,118.8773
4275,48.7149,118.8773
4280,48.3743,119.061
4285,48.6809,118.9429
4290,49.1919,118.8248
4295,48.7831,118.9691
4300,48.6809,118.8641
4305,48.7831,118.8773
4310,48.5787,118.7985
4315,48.5105,118.8379
4320,48.3402,118.851
4325,48.5787,118.6279
4330,48.2721,118.6542
4335,48.0337,118.6279
4340,47.9656,118.8641
4345,48.3062,118.746
4350,48.4084,118.7198
4355,48.204,118.6017
4360,47.8294,118.5886
4365,48.3743,118.6279
4370,47.7612,118.5361
4375,47.9315,118.5886
4380,47.9996,118.6148
4385,48.1699,118.6411
4390,47.4207,118.5623
4395,47.9996,118.4836
4400,47.625,118.4442
4405,47.7272,118.6148
4410,47.6591,118.4705
4415,47.7272,118.3655
4420,47.4548,118.4048
4425,47.3526,118.3917
4430,46.91,118.5098
4435,47.6591,118.3524
4440,47.0121,118.2605
4445,47.2164,118.4048
4450,47.3186,118.1293
4455,46.9781,118.2867
4460,47.2845,118.1818
4465,47.0462,118.2999
